address,description,price,building_total_floors,num_bathrooms,lat,num_rooms,area,condition,floor,lng,price_sqm,building_type,ceiling_height
"Yerevan, Center, Zakyan St","1 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 75486","80,000",5,1,40.17888250,1,36 sq. m.,newly repaired,4,44.50921540,"2,222",stone,3 m
"Yerevan, Center, Argishti St","3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 88694","88,500",14,1,40.17377960,3,66 sq. m.,newly repaired,7,44.50421970,"1,341",monolit,3 m
"Yerevan, Center, Tpagrichner St","1 bedrooms apartment for sale in Tpagrichner St, Center, Yerevan, 86889","120,000",5,1,40.18333300,1,40 sq. m.,newly repaired,2,44.51666700,"3,000",stone,3 m
"Yerevan, Center, Amiryan St","3 bedrooms apartment for sale in Amiryan St, Center, Yerevan, 86513","180,000",11,1,40.18333300,3,90 sq. m.,newly repaired,4,44.51666700,"2,000",panel,2.8 m
"Yerevan, Center, Hanrapetutyan St","4 bedrooms apartment for sale in Hanrapetutyan St, Center, Yerevan, 97329","185,000",4,2,40.17896840,4,110 sq. m.,newly repaired,3,44.52174940,"1,682",stone,2.8 m
"Yerevan, Center, Zakyan St","2 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 75196","93,000",5,1,40.17769450,2,35 sq. m.,newly repaired,5,44.51265110,"2,657",stone,3 m
"Yerevan, Center, Mashtots Ave","2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 68451","72,000",5,1,40.17648320,2,47 sq. m.,newly repaired,5,44.50282530,"1,532",stone,3.2 m
"Yerevan, Center, Lalayants st","2 bedrooms apartment for sale in Lalayants st, Center, Yerevan, 73417","97,000",11,1,40.18265830,2,68 sq. m.,good,2,44.50307820,"1,426",panel,2.8 m
"Yerevan, Center, Nalbandyan St","3 bedrooms apartment for sale in Nalbandyan St, Center, Yerevan, 70335","87,000",4,1,40.18354150,3,78 sq. m.,zero condition,4,44.52286100,"1,115",stone,3 m
"Yerevan, Center, Kilikia district","3 bedrooms apartment for sale in Kilikia district, Center, Yerevan, 91611","80,000",4,1,40.17655210,3,58 sq. m.,newly repaired,3,44.48869830,"1,379",stone,2.8 m
"Yerevan, Center, Teryan St","2 bedrooms apartment for sale in Teryan St, Center, Yerevan, 88623","156,000",4,1,40.18561980,2,41 sq. m.,newly repaired,2,44.51789500,"3,805",stone,3.2 m
"Yerevan, Center, Buzand St","2 bedrooms apartment for sale in Buzand St, Center, Yerevan, 85564","85,000",5,1,40.18186220,2,62 sq. m.,good,5,44.50894650,"1,371",stone,2.6 m
"Yerevan, Center, Dzorap St","2 bedrooms apartment for sale in new construction in Dzorap St, Center, Yerevan, 76404","90,000",12,1,40.18382460,2,64 sq. m.,zero condition,7,44.50060560,"1,406",monolit,3.2 m
"Yerevan, Center, Kajaznuni St","1 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 88684","82,000",9,1,40.16643040,1,71 sq. m.,newly repaired,4,44.52123690,"1,155",panel,2.8 m
"Yerevan, Center, Isahakyan St","3 bedrooms apartment for sale in Isahakyan St, Center, Yerevan, 65981","150,000",5,1,40.18600010,3,145 sq. m.,good,1,44.52405740,"1,034",stone,2.8 m
"Yerevan, Center, Argishti St","2 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 87165","75,000",14,1,40.18333300,2,50 sq. m.,newly repaired,7,44.51666700,"1,500",monolit,3 m
"Yerevan, Center, Arshakunyats Ave","3 bedrooms apartment for sale in Arshakunyats Ave, Center, Yerevan, 63764","79,000",5,1,40.16976800,3,79 sq. m.,good,2,44.50738800,"1,000",stone,2.8 m
"Yerevan, Center, Hanrapetutyan St","4 bedrooms apartment for sale in Hanrapetutyan St, Center, Yerevan, 76036","165,000",4,1,40.17789730,4,138 sq. m.,newly repaired,4,44.51898760,"1,196",stone,3 m
"Yerevan, Center, Tigran Mets Ave","2 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 74530","85,000",5,1,40.16411580,2,68 sq. m.,newly repaired,5,44.51264010,"1,250",stone,3 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 67801","80,000",16,1,40.16976580,3,100 sq. m.,good,15,44.51714200,800,panel,2.8 m
"Yerevan, Center, Vardanants St","2 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 93585","82,000",11,1,40.17399790,2,70 sq. m.,good,3,44.52130350,"1,171",panel,2.8 m
"Yerevan, Center, Sayat-Nova Ave","1 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 71343","100,000",5,1,40.17795930,1,67 sq. m.,good,5,44.52640240,"1,493",stone,3 m
"Yerevan, Center, Vratsyan St","3 bedrooms apartment for sale in Vratsyan St, Center, Yerevan, 78757","85,000",12,1,40.17090250,3,84 sq. m.,good,3,44.52006690,"1,012",panel,2.8 m
"Yerevan, Center, G.Lusavorich St","2 bedrooms apartment for sale in G.Lusavorich St, Center, Yerevan, 73391","87,000",5,1,40.17216040,2,80 sq. m.,good,2,44.50725260,"1,088",other,2.8 m
"Yerevan, Center, Paronyan St","2 bedrooms apartment for sale in Paronyan St, Center, Yerevan, 94342","103,000",14,2,40.17852720,2,73 sq. m.,good,8,44.50334950,"1,411",monolit,2.8 m
"Yerevan, Center, Saryan St","1 bedrooms apartment for sale in Saryan St, Center, Yerevan, 92479","88,000",9,1,40.18143200,1,42 sq. m.,newly repaired,4,44.50527350,"2,095",panel,2.8 m
"Yerevan, Center, Sayat-Nova Ave","2 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 87483","145,000",9,1,40.18333300,2,77 sq. m.,good,3,44.51666700,"1,883",panel,2.8 m
"Yerevan, Center, Vardanants St","3 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 69120","200,000",5,1,40.17872480,3,88 sq. m.,newly repaired,2,44.51744310,"2,273",stone,3.2 m
"Yerevan, Center, Yekmalyan St","2 bedrooms apartment for sale in new construction in Yekmalyan St, Center, Yerevan, 91544","170,000",10,1,40.18414730,2,70 sq. m.,zero condition,7,44.50915660,"2,429",monolit,3 m
"Yerevan, Center, Argishti St","4 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 63937","185,000",13,2,40.17396190,4,151 sq. m.,newly repaired,7,44.50324050,"1,225",monolit,3 m
"Yerevan, Center, Tigran Mets Ave","2 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 50784","77,000",4,1,40.16582520,2,73 sq. m.,good,4,44.51316830,"1,055",stone,2.8 m
"Yerevan, Center, Yekmalyan St","3 bedrooms apartment for sale in new construction in Yekmalyan St, Center, Yerevan, 78492","200,000",9,1,40.18414730,3,70 sq. m.,newly repaired,2,44.50915660,"2,857",monolit,3 m
"Yerevan, Center, Amiryan St","3 bedrooms apartment for sale in Amiryan St, Center, Yerevan, 90523","185,000",5,1,40.18062240,3,100 sq. m.,newly repaired,5,44.50817810,"1,850",stone,3.2 m
"Yerevan, Center, Israelyan St","2 bedrooms apartment for sale in Israelyan St, Center, Yerevan, 77844","75,000",9,1,40.17788452,2,63 sq. m.,zero condition,6,44.50409303,"1,190",panel,2.8 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 95327","123,000",9,1,40.17100022,3,92 sq. m.,newly repaired,7,44.51860148,"1,337",panel,3 m
"Yerevan, Center, Pushkin St","3 bedrooms apartment for sale in Pushkin St, Center, Yerevan, 93534","210,000",5,1,40.18282220,3,80 sq. m.,newly repaired,3,44.51241200,"2,625",stone,3.2 m
"Yerevan, Center, Hanrapetutyan St","2 bedrooms apartment for sale in Hanrapetutyan St, Center, Yerevan, 92719","145,000",5,1,40.17789730,2,64 sq. m.,zero condition,4,44.51898760,"2,266",stone,3.2 m
"Yerevan, Center, Pushkin St","3 bedrooms apartment for sale in Pushkin St, Center, Yerevan, 81302","200,000",9,1,40.18008460,3,102 sq. m.,newly repaired,3,44.51564260,"1,961",panel,2.8 m
"Yerevan, Center, M.Khorenatsi St","2 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 66737","91,000",11,1,40.16795620,2,67 sq. m.,newly repaired,8,44.51416670,"1,358",panel,2.8 m
"Yerevan, Center, Paronyan St","2 bedrooms apartment for sale in Paronyan St, Center, Yerevan, 81460","90,000",9,1,40.18071660,2,80 sq. m.,good,3,44.49973760,"1,125",panel,2.8 m
"Yerevan, Center, Argishti St","3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 89147","133,000",14,1,40.17442470,3,104 sq. m.,newly repaired,5,44.50252900,"1,279",monolit,3 m
"Yerevan, Center, Aygestan 10 St","4 bedrooms apartment for sale in Aygestan 10 St, Center, Yerevan, 62353","85,000",9,1,40.17935590,4,85 sq. m.,newly repaired,1,44.52910240,"1,000",monolit,3.2 m
"Yerevan, Center, Tigran Mets Ave","2 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 95463","78,000",5,1,40.16411580,2,60 sq. m.,newly repaired,4,44.51264010,"1,300",stone,2.6 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 95616","92,000",14,1,40.16434210,3,90 sq. m.,newly repaired,12,44.51712000,"1,022",panel,3 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 73299","82,000",16,1,40.17133660,3,96 sq. m.,good,15,44.51773610,854,panel,2.8 m
"Yerevan, Center, D. Demirchyan St","2 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 69266","82,000",5,1,40.18775210,2,50 sq. m.,newly repaired,1,44.50752360,"1,640",stone,2.8 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in new construction in M.Khorenatsi St, Center, Yerevan, 91162","180,000",8,1,40.17433810,3,93 sq. m.,newly repaired,3,44.51027690,"1,935",monolit,3.2 m
"Yerevan, Center, Kajaznuni St","4 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 93563","185,000",5,1,40.16889660,4,84 sq. m.,good,2,44.51975960,"2,202",stone,2.8 m
"Yerevan, Center, Tigran Mets Ave","4 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 70064","130,000",5,1,40.17044036,4,114 sq. m.,newly repaired,2,44.51477188,"1,140",stone,3.2 m
"Yerevan, Center, Nalbandyan St","3 bedrooms apartment for sale in Nalbandyan St, Center, Yerevan, 68263","150,000",5,1,40.18157340,3,80 sq. m.,newly repaired,5,44.52004900,"1,875",stone,3 m
"Yerevan, Center, Buzand St","2 bedrooms apartment for sale in Buzand St, Center, Yerevan, 95946","207,000",16,1,40.18290030,2,59 sq. m.,newly repaired,8,44.50753100,"3,508",monolit,3 m
"Yerevan, Center, Argishti St","3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 85315","183,000",14,1,40.17396190,3,120 sq. m.,newly repaired,11,44.50324050,"1,525",monolit,2.8 m
"Yerevan, Center, Tigran Mets Ave","4 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 88868","128,000",5,1,40.16978450,4,114 sq. m.,newly repaired,2,44.51425690,"1,123",stone,2.8 m
"Yerevan, Center, Tigran Mets Ave","3 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 78936","96,000",4,1,40.16657640,3,87 sq. m.,good,3,44.51323540,"1,103",stone,2.8 m
"Yerevan, Center, Saryan St","3 bedrooms apartment for sale in Saryan St, Center, Yerevan, 95065","123,000",8,1,40.18396170,3,74 sq. m.,newly repaired,3,44.50483740,"1,662",stone,3 m
"Yerevan, Center, Zakyan St","1 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 75488","80,000",5,1,40.17888250,1,36 sq. m.,newly repaired,4,44.50921540,"2,222",stone,3 m
"Yerevan, Center, Mashtots Ave","1 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 84250","100,000",14,1,40.18225270,1,68 sq. m.,zero condition,8,44.50819940,"1,471",panel,2.8 m
"Yerevan, Center, Tigran Mets Ave","3 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 73983","127,000",5,1,40.16978450,3,114 sq. m.,good,2,44.51425690,"1,114",other,3.2 m
"Yerevan, Center, Argishti St","3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 54904","123,000",14,1,40.17398220,3,95 sq. m.,newly repaired,5,44.50422630,"1,295",monolit,3 m
"Yerevan, Center, D. Demirchyan St","2 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 88247","90,000",5,1,40.18775210,2,60 sq. m.,zero condition,5,44.50752360,"1,500",stone,3 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 71142","92,000",16,1,40.16457780,3,90 sq. m.,newly repaired,5,44.51560790,"1,022",panel,3 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 83682","110,000",12,1,40.16795340,3,75 sq. m.,newly repaired,7,44.51416800,"1,467",panel,2.8 m
"Yerevan, Center, M.Khorenatsi St","4 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 78397","130,000",5,1,40.16917330,4,90 sq. m.,good,2,44.51345530,"1,444",stone,2.8 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 54814","87,000",9,1,40.17012470,3,83 sq. m.,good,8,44.51676720,"1,048",panel,2.8 m
"Yerevan, Center, Zavaryan St","2 bedrooms apartment for sale in Zavaryan St, Center, Yerevan, 90048","88,000",9,1,40.16668120,2,44 sq. m.,newly repaired,2,44.51163360,"2,000",panel,2.8 m
"Yerevan, Center, Koghbatsi St","2 bedrooms apartment for sale in Koghbatsi St, Center, Yerevan, 73140","82,000",9,1,40.17883160,2,44 sq. m.,newly repaired,2,44.50734090,"1,864",other,3 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 76254","82,000",9,1,40.17287870,3,83 sq. m.,good,8,44.52053140,988,panel,2.8 m
"Yerevan, Center, Antarayin St","5 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 70069","176,000",3,1,40.19399610,5,175 sq. m.,zero condition,1,44.50903780,"1,006",monolit,3 m
"Yerevan, Center, Khanjyan St","4 bedrooms apartment for sale in Khanjyan St, Center, Yerevan, 87893","185,000",5,1,40.17712220,4,110 sq. m.,newly repaired,5,44.52221270,"1,682",stone,2.8 m
"Yerevan, Center, Saryan St","2 bedrooms apartment for sale in Saryan St, Center, Yerevan, 97553","85,000",10,1,40.18448120,2,40 sq. m.,newly repaired,8,44.50592760,"2,125",panel,2.8 m
"Yerevan, Center, A.Manukyan St","5 bedrooms apartment for sale in new construction in A.Manukyan St, Center, Yerevan, 78971","210,000",6,2,40.17897650,5,150 sq. m.,newly repaired,4,44.52479910,"1,400",monolit,3 m
"Yerevan, Center, Agatangeghos St","3 bedrooms apartment for sale in Agatangeghos St, Center, Yerevan, 79146","128,000",11,1,40.17310060,3,90 sq. m.,newly repaired,5,44.51236970,"1,422",panel,2.8 m
"Yerevan, Center, NarDos dead end","2 bedrooms apartment for sale in new construction in NarDos dead end, Center, Yerevan, 84772","130,000",10,1,40.16551050,2,80 sq. m.,newly repaired,9,44.51124030,"1,625",monolit,3.2 m
"Yerevan, Center, Buzand St","3 bedrooms apartment for sale in new construction in Buzand St, Center, Yerevan, 72419","220,000",9,1,40.17597230,3,73 sq. m.,newly repaired,2,44.51742860,"3,014",monolit,3.2 m
"Yerevan, Center, Heratsi St","3 bedrooms apartment for sale in Heratsi St, Center, Yerevan, 85499","95,000",4,1,40.19174590,3,92 sq. m.,zero condition,2,44.53049320,"1,033",stone,3.2 m
"Yerevan, Center, Tigran Mets Ave","4 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 91616","89,000",5,1,40.15553700,4,96 sq. m.,newly repaired,4,44.51061080,927,stone,3 m
"Yerevan, Center, Bayron St","3 bedrooms apartment for sale in Bayron St, Center, Yerevan, 87962","115,000",5,1,40.18673110,3,50 sq. m.,newly repaired,5,44.51821940,"2,300",stone,3 m
"Yerevan, Center, Koghbatsi St","3 bedrooms apartment for sale in Koghbatsi St, Center, Yerevan, 88681","133,000",12,1,40.18185720,3,96 sq. m.,good,8,44.51127240,"1,385",panel,2.8 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 57978","86,000",4,1,40.16917330,3,95 sq. m.,newly repaired,2,44.51345530,905,stone,2.8 m
"Yerevan, Center, Argishti St","2 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 88308","85,000",15,1,40.17377960,2,54 sq. m.,good,3,44.50421970,"1,574",monolit,3 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 72761","87,000",9,1,40.17133660,3,83 sq. m.,good,8,44.51773610,"1,048",panel,2.8 m
"Yerevan, Center, Koryun St","4 bedrooms apartment for sale in Koryun St, Center, Yerevan, 93752","133,000",6,2,40.18861320,4,218 sq. m.,newly repaired,5,44.52411060,610,stone,3.2 m
"Yerevan, Center, Lisinyan St","3 bedrooms apartment for sale in Lisinyan St, Center, Yerevan, 82221","80,000",4,1,40.20267520,3,100 sq. m.,newly repaired,3,44.50671010,800,stone,3.2 m
"Yerevan, Center, Antarayin St","4 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 92202","178,000",12,2,40.19349430,4,123 sq. m.,zero condition,4,44.50991460,"1,447",monolit,3 m
"Yerevan, Center, Saryan St","1 bedrooms apartment for sale in Saryan St, Center, Yerevan, 85456","92,000",5,1,40.18504990,1,38 sq. m.,newly repaired,2,44.50655900,"2,421",stone,3 m
"Yerevan, Center, Arshakunyats Ave","4 bedrooms apartment for sale in Arshakunyats Ave, Center, Yerevan, 95594","120,000",7,2,40.15088440,4,120 sq. m.,newly repaired,4,44.49809540,"1,000",stone,3 m
"Yerevan, Center, Koryun alley","2 bedrooms apartment for sale in Koryun alley, Center, Yerevan, 86869","125,000",6,1,40.18333300,2,75 sq. m.,newly repaired,5,44.51666700,"1,667",stone,2.8 m
"Yerevan, Center, Zarubyan St","5 bedrooms apartment for sale in Zarubyan St, Center, Yerevan, 95578","225,000",5,1,40.16672500,5,120 sq. m.,newly repaired,2,44.51391420,"1,875",stone,2.8 m
"Yerevan, Center, Sayat-Nova Ave","4 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 85368","215,000",4,2,40.18019710,4,137 sq. m.,newly repaired,4,44.52282430,"1,569",stone,3 m
"Yerevan, Center, Baghramyan Ave (Kentron)","3 bedrooms apartment for sale in Baghramyan Ave (Kentron), Center, Yerevan, 94378","123,000",5,1,40.19223710,3,89 sq. m.,good,5,44.50416570,"1,382",stone,2.8 m
"Yerevan, Center, Ler. Kamsar St","3 bedrooms apartment for sale in new construction in Ler. Kamsar St, Center, Yerevan, 92934","105,000",9,1,40.19296720,3,75 sq. m.,zero condition,8,44.50236740,"1,400",monolit,3 m
"Yerevan, Center, NarDos St","2 bedrooms apartment for sale in new construction in NarDos St, Center, Yerevan, 56833","90,000",10,1,40.16497340,2,64 sq. m.,newly repaired,2,44.51132400,"1,406",monolit,3.2 m
"Yerevan, Center, Vardanants St","2 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 58144","82,000",11,1,40.17395380,2,70 sq. m.,good,3,44.52133100,"1,171",panel,3 m
"Yerevan, Center, Bryusov St","3 bedrooms apartment for sale in Bryusov St, Center, Yerevan, 80417","82,000",16,1,40.16786570,3,96 sq. m.,newly repaired,11,44.50495640,854,panel,2.8 m
"Yerevan, Center, Kajaznuni St","4 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 91389","105,000",9,1,40.16859790,4,110 sq. m.,good,2,44.52029240,955,panel,2.8 m
"Yerevan, Center, Teryan St","1 bedrooms apartment for sale in Teryan St, Center, Yerevan, 95871","93,000",7,1,40.18561980,1,39 sq. m.,newly repaired,5,44.51789500,"2,385",monolit,2.8 m
"Yerevan, Center, Tsitsernakaberd Highway","2 bedrooms apartment for sale in new construction in Tsitsernakaberd Highway, Center, Yerevan, 95226","95,000",22,1,40.18152920,2,60 sq. m.,zero condition,9,44.48443690,"1,583",monolit,3 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 93981","120,000",10,1,40.16977590,3,89 sq. m.,newly repaired,3,44.51893500,"1,348",panel,2.8 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 84831","77,000",10,1,40.16917892,3,66 sq. m.,good,3,44.51595855,"1,167",panel,2.8 m
"Yerevan, Center, Zakyan St","1 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 57911","97,000",5,1,40.17924610,1,41 sq. m.,good,1,44.50953740,"2,366",stone,3 m
"Yerevan, Center, Paronyan St","3 bedrooms apartment for sale in new construction in Paronyan St, Center, Yerevan, 89043","117,000",14,1,40.18113120,3,79 sq. m.,zero condition,12,44.49921090,"1,481",monolit,3 m
"Yerevan, Center, Isahakyan St","4 bedrooms apartment for sale in Isahakyan St, Center, Yerevan, 76639","225,000",9,2,40.18783990,4,125 sq. m.,newly repaired,7,44.52187210,"1,800",panel,3 m
"Yerevan, Center, Arshakunyats Ave","3 bedrooms apartment for sale in Arshakunyats Ave, Center, Yerevan, 96911","70,000",5,1,40.15088440,3,70 sq. m.,newly repaired,5,44.49809540,"1,000",stone,3 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 66776","75,000",10,1,40.17114650,3,66 sq. m.,good,3,44.51973510,"1,136",panel,3.2 m
"Yerevan, Center, Saryan St","4 bedrooms apartment for sale in Saryan St, Center, Yerevan, 74424","120,000",8,1,40.18347610,4,93 sq. m.,good,6,44.50482580,"1,290",stone,2.8 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 84907","123,000",10,1,40.17125209,3,80 sq. m.,good,3,44.51948210,"1,538",panel,2.8 m
"Yerevan, Center, Pushkin St","2 bedrooms apartment for sale in Pushkin St, Center, Yerevan, 97824","110,000",9,1,40.18559280,2,40 sq. m.,newly repaired,9,44.50889590,"2,750",other,2.8 m
"Yerevan, Center, Kajaznuni St","4 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 86285","105,000",11,2,40.18333300,4,110 sq. m.,good,2,44.51666700,955,panel,2.8 m
"Yerevan, Center, Tsitsernakaberd Highway","2 bedrooms apartment for sale in new construction in Tsitsernakaberd Highway, Center, Yerevan, 95521","95,000",22,1,40.17937290,2,60 sq. m.,zero condition,6,44.48996990,"1,583",monolit,3 m
"Yerevan, Center, Antarayin St","1 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 82605","85,000",6,1,40.19349430,1,39 sq. m.,newly repaired,4,44.50991460,"2,179",monolit,3 m
"Yerevan, Center, E. Qochar St","4 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 84869","110,000",10,1,40.17287870,4,97 sq. m.,newly repaired,6,44.52053140,"1,134",panel,2.8 m
"Yerevan, Center, Sayat-Nova Ave","4 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 80449","130,000",6,1,40.18206190,4,83 sq. m.,good,5,44.52088370,"1,566",panel,2.8 m
"Yerevan, Center, Frik St","3 bedrooms apartment for sale in Frik St, Center, Yerevan, 97365","115,000",9,1,40.18664910,3,92 sq. m.,newly repaired,4,44.50513780,"1,250",panel,2.8 m
"Yerevan, Center, Zakyan St","3 bedrooms apartment for sale in Zakyan St, Center, Yerevan, 90011","92,000",4,1,40.17733710,3,80 sq. m.,good,2,44.50744470,"1,150",stone,2.6 m
"Yerevan, Center, Pushkin St","3 bedrooms apartment for sale in Pushkin St, Center, Yerevan, 94678","165,000",4,1,40.18398787,3,73 sq. m.,good,2,44.51080279,"2,260",stone,3 m
"Yerevan, Center, Saryan St","2 bedrooms apartment for sale in Saryan St, Center, Yerevan, 87588","120,000",11,1,40.18448120,2,70 sq. m.,newly repaired,7,44.50592760,"1,714",panel,2.8 m
"Yerevan, Center, Tigran Mets Ave","3 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 84852","96,000",4,1,40.16657640,3,75 sq. m.,newly repaired,3,44.51323540,"1,280",stone,3.2 m
"Yerevan, Center, E. Qochar St","3 bedrooms apartment for sale in E. Qochar St, Center, Yerevan, 87722","88,000",10,1,40.17133660,3,51 sq. m.,newly repaired,5,44.51773610,"1,725",panel,2.8 m
"Yerevan, Center, Vardanants St","2 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 90568","95,000",9,1,40.17399790,2,44 sq. m.,newly repaired,3,44.52130350,"2,159",panel,2.8 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 86178","110,000",12,1,40.18333300,3,75 sq. m.,newly repaired,7,44.51666700,"1,467",panel,2.8 m
"Yerevan, Center, D. Demirchyan St","2 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 69269","85,000",5,1,40.18956180,2,50 sq. m.,newly repaired,1,44.50731710,"1,700",stone,2.8 m
"Yerevan, Center, Hin yerevantsi St","3 bedrooms apartment for sale in Hin yerevantsi St, Center, Yerevan, 85474","112,000",11,1,40.18259870,3,68 sq. m.,good,3,44.51527720,"1,647",panel,2.8 m
"Yerevan, Center, Tumanyan St","2 bedrooms apartment for sale in Tumanyan St, Center, Yerevan, 93943","105,000",11,1,40.18593300,2,66 sq. m.,newly repaired,11,44.51215360,"1,591",panel,2.8 m
"Yerevan, Center, Vardanants St","3 bedrooms apartment for sale in Vardanants St, Center, Yerevan, 78399","105,000",12,1,40.17264170,3,112 sq. m.,newly repaired,8,44.52126750,938,panel,2.8 m
"Yerevan, Center, Amiryan St","3 bedrooms apartment for sale in new construction in Amiryan St, Center, Yerevan, 70742","97,000",11,2,40.18062240,3,53 sq. m.,zero condition,4,44.50817810,"1,830",monolit,3 m
"Yerevan, Center, Frik St","4 bedrooms apartment for sale in Frik St, Center, Yerevan, 77703","90,000",10,1,40.18664910,4,92 sq. m.,good,3,44.50513780,978,panel,3 m
"Yerevan, Center, Tumanyan St","3 bedrooms apartment for sale in Tumanyan St, Center, Yerevan, 89759","143,000",9,1,40.18669070,3,80 sq. m.,good,3,44.51108520,"1,788",other,2.8 m
"Yerevan, Center, Tumanyan St","3 bedrooms apartment for sale in Tumanyan St, Center, Yerevan, 74120","125,000",7,1,40.18295080,3,100 sq. m.,newly repaired,7,44.51666210,"1,250",stone,2.8 m
"Yerevan, Center, M.Khorenatsi St","3 bedrooms apartment for sale in M.Khorenatsi St, Center, Yerevan, 90592","95,000",12,1,40.16917330,3,82 sq. m.,newly repaired,6,44.51345530,"1,159",panel,2.8 m
"Yerevan, Center, Kajaznuni St","3 bedrooms apartment for sale in Kajaznuni St, Center, Yerevan, 57275","115,000",9,1,40.16867550,3,96 sq. m.,good,7,44.52025930,"1,198",panel,2.8 m
"Yerevan, Center, Antarayin St","2 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 91940","76,000",6,1,40.19399610,2,58 sq. m.,zero condition,2,44.50903780,"1,310",monolit,2.8 m
"Yerevan, Center, Yekmalyan St","2 bedrooms apartment for sale in new construction in Yekmalyan St, Center, Yerevan, 97794","155,000",10,1,40.18414730,2,43 sq. m.,newly repaired,8,44.50915660,"3,605",monolit,3.2 m
"Yerevan, Center, Hanrapetutyan St","2 bedrooms apartment for sale in Hanrapetutyan St, Center, Yerevan, 86351","100,000",5,1,40.18333300,2,42 sq. m.,good,5,44.51666700,"2,381",stone,2.8 m
